description,category
SNAPDEAL BILL PAYMENT BBPS,Shopping
POS 5981 INDANE,Utilities
UPI/LENDINGKART/7278755886/Payment,EMI / Loans
ATM WDL HDFC0001234,Others
YATRA BILL PAYMENT BBPS,Travel
COUNTRY DELIGHT MILK SUBSCRIPTION,Groceries
POS-DMART,Groceries
UPI/TATA/7357438421/Payment,Utilities
PPF DEPOSIT ANNUAL,Investments
GPAY TRANSFER TO FRIEND,Transfers
CASHBACK CRED CARD OFFER,Income
NEFT TRF TO SAVINGS AC,Transfers
SHELL FUEL PAYMENT,Transport
UPI-JIOHOTSTAR-APL-XXXX2807,Subscriptions
IKEA FURNITURE PURCHASE,Shopping
IMPS/P2A/7852892268/SIP,Investments
UPI/WATER/6921244717/Payment,Utilities
IMPS/P2A/8997563410/SIMPLILEARN,Education
UPI-UPI-SWIGGY-OKAXIS-PAYTM-XXXX6706,Food & Dining
IMPS FUND TRANSFER TO FAMILY,Transfers
RELIANCE FRESH PURCHASE,Groceries
POS 7668 PRACTO,Health
NEFT-WATER-65421406,Utilities
VEDANTU COURSE PAYMENT,Education
NEFT-JIOMART-91279908,Groceries
DECATHLON SPORTS PURCHASE,Shopping
POS 5411 HATHWAY,Utilities
POS 5850 CAFE,Food & Dining
VIJAY SALES ELECTRONICS PAYMENT,Shopping
PLAYSTATION STORE PURCHASE,Entertainment
NEFT-BBPS-73938525,Utilities
RESTAURANT BILL PAYMENT DINNER,Food & Dining
IMPS/P2A/8489554393/LOCAL,Groceries
IMPS/P2A/6278282742/YOUTUBE,Subscriptions
NEFT-AMAZON-02194672,Shopping
IMPS/P2A/5636694118/DIAGNOSTIC,Health
IMPS/P2A/9909133412/KREDITBEE,EMI / Loans
POS 9120 ETMONEY,Investments
FLIPKART ONLINE ORDER 207811,Shopping
AIR INDIA TICKET PAYMENT,Travel
IMPS/P2A/9988776655/TRF,Transfers
TATA ONLINE ORDER 515319,Insurance
POS 7865 CAR,EMI / Loans
POS 7221 SUBWAY,Food & Dining
STANDING INSTRUCTION FAILURE CHARGE,Others
IMPS/P2A/6892686025/BOUNCE,Transport
UPI-ANITA KUMAR-OKSBI-XXXX7890,Transfers
NEFT-PG-65787133,Rent
POS 9869 DMRC,Transport
UPSTOX SECURITIES PURCHASE,Investments
GST ON BANK CHARGES,Others
STATEMENT REQUEST CHARGES,Others
UPI/GAANA/5867362266/Payment,Subscriptions
REVERSAL FAILED UPI TXN,Income
SIMPLILEARN CERTIFICATION FEE,Education
RELIANCE GENERAL INSURANCE PREMIUM,Insurance
UPI/XBOX/1514888143/Payment,Entertainment
INDANE ONLINE ORDER 429444,Utilities
TATA BILL PAYMENT BBPS,EMI / Loans
NEFT-NOBROKER-09805009,Rent
LIC PREMIUM PAYMENT,Insurance
