AXIS BANK,Statement of Account
Tran Date,Particulars,Amount,Balance
01/05/2026,OPENING BALANCE,,36800.00
02/05/2026,SALARY CREDIT ACME TECH PVT LTD,68000.00,104800.00
03/05/2026,RENT TRANSFER LANDLORD NEFT,18000.00,86800.00
04/05/2026,EMI HDB FINANCIAL CARLOAN,9500.00,77300.00
05/05/2026,SIP ZERODHA COIN MUTUAL FUND,5000.00,72300.00
06/05/2026,NACH-LIC PREMIUM-AUTODEBIT,2150.00,70150.00
07/05/2026,UPI-SWIGGY-OKAXIS-XXXX1234,420.00,69730.00
08/05/2026,UPI-ZOMATO-OKICICI-XXXX5678,560.00,69170.00
09/05/2026,POS-4521-RELIANCE FRESH,1840.00,67330.00
10/05/2026,BIGBASKET ONLINE GROCERY,3120.00,64210.00
11/05/2026,UPI-UBER INDIA-OKHDFC,310.00,63900.00
12/05/2026,UPI-OLA CABS-OKSBI,265.00,63635.00
13/05/2026,HPCL FUEL PETROL,2000.00,61635.00
14/05/2026,NETFLIX SUBSCRIPTION,649.00,60986.00
15/05/2026,UPI-SPOTIFY INDIA,119.00,60867.00
16/05/2026,AIRTEL POSTPAID RECHARGE BBPS,799.00,60068.00
17/06/2026,SALARY CREDIT ACME TECH PVT LTD,68000.00,128068.00
18/06/2026,RENT TRANSFER LANDLORD NEFT,18000.00,110068.00
19/06/2026,EMI HDB FINANCIAL CARLOAN,9500.00,100568.00
20/06/2026,SIP ZERODHA COIN MUTUAL FUND,5000.00,95568.00
21/06/2026,NACH-LIC PREMIUM-AUTODEBIT,2150.00,93418.00
22/06/2026,UPI-SWIGGY-OKAXIS-XXXX1234,420.00,92998.00
23/06/2026,UPI-ZOMATO-OKICICI-XXXX5678,560.00,92438.00
24/06/2026,POS-4521-RELIANCE FRESH,1840.00,90598.00
25/06/2026,BIGBASKET ONLINE GROCERY,3120.00,87478.00
26/06/2026,UPI-UBER INDIA-OKHDFC,310.00,87168.00
27/06/2026,UPI-OLA CABS-OKSBI,265.00,86903.00
28/06/2026,HPCL FUEL PETROL,2000.00,84903.00
01/06/2026,NETFLIX SUBSCRIPTION,649.00,84254.00
02/06/2026,UPI-SPOTIFY INDIA,119.00,84135.00
03/06/2026,AIRTEL POSTPAID RECHARGE BBPS,799.00,83336.00
