ICICI Bank Account Statement
Value Date,Transaction Date,Cheque Number,Transaction Remarks,Amount,Type
02/05/2026,02/05/2026,ICIC403677,SALARY CREDIT ACME TECH PVT LTD,68000.00,CR
03/05/2026,03/05/2026,ICIC539499,RENT TRANSFER LANDLORD NEFT,18000.00,DR
04/05/2026,04/05/2026,ICIC251262,EMI HDB FINANCIAL CARLOAN,9500.00,DR
05/05/2026,05/05/2026,ICIC666950,SIP ZERODHA COIN MUTUAL FUND,5000.00,DR
06/05/2026,06/05/2026,ICIC223514,NACH-LIC PREMIUM-AUTODEBIT,2150.00,DR
07/05/2026,07/05/2026,ICIC698646,UPI-SWIGGY-OKAXIS-XXXX1234,420.00,DR
08/05/2026,08/05/2026,ICIC423466,UPI-ZOMATO-OKICICI-XXXX5678,560.00,DR
09/05/2026,09/05/2026,ICIC687472,POS-4521-RELIANCE FRESH,1840.00,DR
10/05/2026,10/05/2026,ICIC955770,BIGBASKET ONLINE GROCERY,3120.00,DR
11/05/2026,11/05/2026,ICIC815131,UPI-UBER INDIA-OKHDFC,310.00,DR
12/05/2026,12/05/2026,ICIC289505,UPI-OLA CABS-OKSBI,265.00,DR
13/05/2026,13/05/2026,ICIC208061,HPCL FUEL PETROL,2000.00,DR
14/05/2026,14/05/2026,ICIC709851,NETFLIX SUBSCRIPTION,649.00,DR
15/05/2026,15/05/2026,ICIC698951,UPI-SPOTIFY INDIA,119.00,DR
16/05/2026,16/05/2026,ICIC769949,AIRTEL POSTPAID RECHARGE BBPS,799.00,DR
17/05/2026,17/05/2026,ICIC296997,TNEB ELECTRICITY BILL,1430.00,DR
18/05/2026,18/05/2026,ICIC490487,FLIPKART INTERNET ORDER,1799.00,DR
19/05/2026,19/05/2026,ICIC202163,APOLLO PHARMACY MEDPLUS,640.00,DR
20/06/2026,20/06/2026,ICIC674351,SALARY CREDIT ACME TECH PVT LTD,68000.00,CR
21/06/2026,21/06/2026,ICIC846702,RENT TRANSFER LANDLORD NEFT,18000.00,DR
22/06/2026,22/06/2026,ICIC165839,EMI HDB FINANCIAL CARLOAN,9500.00,DR
23/06/2026,23/06/2026,ICIC691783,SIP ZERODHA COIN MUTUAL FUND,5000.00,DR
24/06/2026,24/06/2026,ICIC162496,NACH-LIC PREMIUM-AUTODEBIT,2150.00,DR
25/06/2026,25/06/2026,ICIC749078,UPI-SWIGGY-OKAXIS-XXXX1234,420.00,DR
26/06/2026,26/06/2026,ICIC315963,UPI-ZOMATO-OKICICI-XXXX5678,560.00,DR
27/06/2026,27/06/2026,ICIC620528,POS-4521-RELIANCE FRESH,1840.00,DR
28/06/2026,28/06/2026,ICIC813451,BIGBASKET ONLINE GROCERY,3120.00,DR
01/06/2026,01/06/2026,ICIC657549,UPI-UBER INDIA-OKHDFC,310.00,DR
02/06/2026,02/06/2026,ICIC548363,UPI-OLA CABS-OKSBI,265.00,DR
03/06/2026,03/06/2026,ICIC914983,HPCL FUEL PETROL,2000.00,DR
04/06/2026,04/06/2026,ICIC429407,NETFLIX SUBSCRIPTION,649.00,DR
05/06/2026,05/06/2026,ICIC588218,UPI-SPOTIFY INDIA,119.00,DR
06/06/2026,06/06/2026,ICIC714006,AIRTEL POSTPAID RECHARGE BBPS,799.00,DR
07/06/2026,07/06/2026,ICIC575198,TNEB ELECTRICITY BILL,1430.00,DR
08/06/2026,08/06/2026,ICIC479146,FLIPKART INTERNET ORDER,1799.00,DR
